	species	point	bm	specnr	count1	count2	count3	count4	count5
66	acrcsi	610	12	2	0	0	0	0	0
67	carfla	610	11	12	0	0	0	0	0
68	loxcur	610	41	40	0	0	0	0	0
69	galchl	610	261	33	0	0	0	0	0
70	lularb	610	29	41	0	0	0	0	0
71	butbut	610	848	9	0	0	0	0	0
72	ciraer	610	590	15	0	0	0	0	0
73	accnis	610	194	1	0	0	0	0	0
74	faltin	610	220	29	0	0	0	0	0
75	falsub	610	238	28	0	0	0	0	0
76	lancol	610	30	38	0	0	0	0	0
77	picpic	610	200	62	0	0	0	0	0
78	motcin	610	18	44	0	0	0	0	0
79	trioch	610	89	77	0	0	0	0	0
80	oriori	610	68	46	0	1	1	1	1
81	corcora	610	1139	105	0	0	0	0	0
82	strtur	610	153	138	0	0	0	0	1
83	ficpar	610	10	113	0	0	0	0	0
84	turpil	610	99	142	0	0	0	0	0
85	turvis	610	113	144	0	0	0	0	0
86	coloen	610	303	104	0	0	0	0	0
87	carspi	610	12	97	0	0	0	0	0
88	carcan	610	19	95	1	1	2	0	0
89	saxrub	610	18	134	0	0	0	0	0
90	locnae	610	14	120	0	0	0	0	0
91	loclus	610	17	119	0	0	0	0	0
92	locflu	610	20	118	0	0	0	0	0
93	accgen	610	979	81	0	0	0	0	0
94	cotcot	610	101	109	0	0	0	0	0
95	riprip	610	14	133	0	0	0	0	0
96	corcoro	610	506	106	0	0	0	0	0
97	alcatt	610	44	85	0	0	0	0	0
98	pyrpyr	610	28	132	0	0	0	0	0
99	corfru	610	406	107	0	0	0	0	0
100	acthyp	610	54	84	0	0	0	0	0
101	cormon	610	230	108	0	0	0	0	0
102	ciccic	610	3387	99	0	0	0	0	0
103	stralu	610	463	137	0	0	0	0	0
104	milmig	610	846	123	0	0	0	0	0
105	vanvan	610	211	146	0	0	0	0	0
106	motfla	610	17	125	0	0	0	0	0
107	milcal	610	50	122	1	0	0	1	0
108	saxtor	610	16	135	0	0	0	0	0
109	lanexc	610	67	117	0	0	0	0	0
110	sylnis	610	24	139	0	0	0	0	0
111	upuepo	610	69	145	0	0	0	0	0
112	cicnig	610	2941	100	0	0	0	0	0
113	densyr	610	76	111	0	0	0	0	0
114	bubbub	610	2615	93	0	0	0	0	0
115	crecre	610	159	110	0	0	0	0	0
116	antpra	610	19	89	0	0	0	0	0
117	acraru	610	32	82	0	0	0	0	0
118	aytful	610	803	92	0	0	0	0	0
119	aytfer	610	848	91	0	0	0	0	0
120	cirpyg	610	348	103	0	0	0	0	0
121	circya	610	454	102	0	0	0	0	0
122	perper	610	365	130	0	0	0	0	0
123	lussve	610	19	121	0	0	0	0	0
124	ansans	610	3310	88	0	0	0	0	0
125	anastr	610	718	87	0	0	0	0	0
126	halalb	610	5573	116	0	0	0	0	0
127	galgal	610	105	115	0	0	0	0	0
128	buccla	610	774	94	0	0	0	0	0
129	chadub	610	40	98	0	0	0	0	0
130	acrsch	610	13	83	0	0	0	0	0
131	ardcin	610	1452	90	0	0	0	0	0
132	tacruf	610	212	140	0	0	0	0	0
133	stehir	610	123	136	0	0	0	0	0
134	nucar	610	163	126	0	0	0	0	0
135	tettet	610	1138	141	0	0	0	0	0
136	perapi	610	771	129	0	0	0	0	0
137	oenoen	610	24	128	0	0	0	0	0
138	cincin	610	60	101	0	0	0	0	0
139	fichyp	610	13	112	0	0	0	0	0
140	turtor	610	100	143	0	0	0	0	0
141	nycnyc	610	646	127	0	0	0	0	0
142	carery	610	22	96	0	0	0	0	0
143	anaque	610	358	86	0	0	0	0	0
144	porpor	610	90	131	0	0	0	0	0
145	milmil	610	1389	124	0	0	0	0	0
146	galcri	610	43	114	0	0	0	0	0
